2025-07-24 15:34:23.857 INFO  [main:31] Creating /opt/appl/data/apps/apps_data/can-logger/resources/settings.json with default settings
2025-07-24 19:24:21.932 INFO  [main:65] wakeup, mExit: 0
2025-07-24 19:25:21.933 INFO  [main:65] wakeup, mExit: 0
2025-07-24 19:26:21.933 INFO  [main:65] wakeup, mExit: 0
2025-07-24 19:27:21.934 INFO  [main:65] wakeup, mExit: 0
2025-07-24 19:28:21.934 INFO  [main:65] wakeup, mExit: 0
2025-07-24 19:29:21.935 INFO  [main:65] wakeup, mExit: 0
2025-07-24 19:30:21.935 INFO  [main:65] wakeup, mExit: 0
2025-07-24 19:31:21.936 INFO  [main:65] wakeup, mExit: 0
2025-07-24 19:32:21.936 INFO  [main:65] wakeup, mExit: 0
2025-07-24 19:33:21.936 INFO  [main:65] wakeup, mExit: 0
2025-07-24 19:34:21.938 INFO  [main:65] wakeup, mExit: 0
2025-07-24 19:35:21.938 INFO  [main:65] wakeup, mExit: 0
2025-07-24 19:36:21.938 INFO  [main:65] wakeup, mExit: 0
2025-07-24 19:37:21.939 INFO  [main:65] wakeup, mExit: 0
2025-07-24 19:38:21.939 INFO  [main:65] wakeup, mExit: 0
2025-07-24 19:39:21.940 INFO  [main:65] wakeup, mExit: 0
2025-07-24 19:40:21.942 INFO  [main:65] wakeup, mExit: 0
2025-07-24 19:41:21.943 INFO  [main:65] wakeup, mExit: 0
2025-07-24 19:42:21.943 INFO  [main:65] wakeup, mExit: 0
2025-07-24 19:43:21.943 INFO  [main:65] wakeup, mExit: 0
2025-07-24 19:44:21.944 INFO  [main:65] wakeup, mExit: 0
2025-07-24 19:45:21.945 INFO  [main:65] wakeup, mExit: 0
2025-07-24 19:46:21.945 INFO  [main:65] wakeup, mExit: 0
2025-07-24 19:47:21.946 INFO  [main:65] wakeup, mExit: 0
2025-07-24 19:48:21.947 INFO  [main:65] wakeup, mExit: 0
2025-07-24 19:49:21.947 INFO  [main:65] wakeup, mExit: 0
2025-07-24 19:50:21.947 INFO  [main:65] wakeup, mExit: 0
2025-07-24 19:51:21.948 INFO  [main:65] wakeup, mExit: 0
2025-07-24 19:52:21.949 INFO  [main:65] wakeup, mExit: 0
2025-07-24 19:53:21.950 INFO  [main:65] wakeup, mExit: 0
2025-07-24 19:54:21.950 INFO  [main:65] wakeup, mExit: 0
2025-07-24 19:55:21.951 INFO  [main:65] wakeup, mExit: 0
2025-07-24 19:56:22.951 INFO  [main:65] wakeup, mExit: 0
2025-07-24 19:57:22.952 INFO  [main:65] wakeup, mExit: 0
2025-07-24 19:58:22.952 INFO  [main:65] wakeup, mExit: 0
2025-07-24 19:59:22.953 INFO  [main:65] wakeup, mExit: 0
2025-07-24 20:00:22.953 INFO  [main:65] wakeup, mExit: 0
2025-07-24 20:01:22.953 INFO  [main:65] wakeup, mExit: 0
